time,rnti,tbs_dl,tbs_ul,series_id
17:54:25.000000,"0xcd58,",22.0,317.0,0.0
17:54:25.000000,"0xcd58,",0.0,317.0,0.0
17:54:26.000000,"0xcd58,",22.0,317.0,0.0
17:54:26.000000,"0xcd58,",0.0,317.0,0.0
17:54:26.382882,"0xcd58,",22.0,0.0,0.0
17:54:26.681998,"0xcd58,",0.0,0.0,0.0
17:54:27.162013,"0xcd58,",0.0,0.0,0.0
17:54:27.213959,"0xcd58,",0.0,317.0,0.0
17:54:27.313892,"0xcd58,",0.0,233.0,0.0
17:54:27.329969,"0xcd58,",0.0,233.0,0.0
17:54:27.345890,"0xcd58,",0.0,233.0,0.0
17:54:27.373919,"0xcd58,",97.0,0.0,0.0
17:54:27.394074,"0xcd58,",0.0,233.0,0.0
17:54:28.013792,"0xcd58,",0.0,97.0,0.0
17:54:28.022175,"0xcd58,",22.0,0.0,0.0
17:54:29.000000,"0xcd58,",22.0,97.0,0.0
17:54:29.000000,"0xcd58,",0.0,97.0,0.0
17:54:30.000000,"0xcd58,",22.0,97.0,0.0
17:54:30.000000,"0xcd58,",0.0,97.0,0.0
17:54:31.000000,"0xcd58,",22.0,97.0,0.0
17:54:31.000000,"0xcd58,",0.0,97.0,0.0
17:54:32.000000,"0xcd58,",22.0,97.0,0.0
17:54:32.000000,"0xcd58,",0.0,97.0,0.0
17:54:33.000000,"0xcd58,",22.0,97.0,0.0
17:54:33.000000,"0xcd58,",0.0,97.0,0.0
17:54:34.000000,"0xcd58,",22.0,97.0,0.0
17:54:34.000000,"0xcd58,",0.0,97.0,0.0
17:54:34.335569,"0xcd58,",97.0,0.0,0.0
17:54:34.363385,"0xcd58,",0.0,157.0,0.0
17:54:34.412033,"0xcd58,",22.0,0.0,0.0
17:54:34.655533,"0xcd58,",11.0,0.0,0.0
17:54:35.000000,"0xcd58,",11.0,0.0,0.0
17:54:35.033919,"0xcd58,",0.0,317.0,0.0
17:54:35.039330,"0xcd58,",0.0,317.0,0.0
17:54:36.000000,"0xcd58,",11.0,317.0,0.0
17:54:36.000000,"0xcd58,",0.0,317.0,0.0
17:54:37.000000,"0xcd58,",11.0,317.0,0.0
17:54:37.000000,"0xcd58,",0.0,317.0,0.0
17:54:38.000000,"0xcd58,",11.0,317.0,0.0
17:54:38.000000,"0xcd58,",0.0,317.0,0.0
17:54:39.000000,"0xcd58,",11.0,317.0,0.0
17:54:39.000000,"0xcd58,",0.0,317.0,0.0
17:54:40.000000,"0xcd58,",11.0,317.0,0.0
17:54:40.000000,"0xcd58,",0.0,317.0,0.0
17:54:41.000000,"0xcd58,",11.0,317.0,0.0
17:54:41.000000,"0xcd58,",0.0,317.0,0.0
17:54:42.000000,"0xcd58,",11.0,317.0,0.0
17:54:42.000000,"0xcd58,",0.0,317.0,0.0
17:54:43.000000,"0xcd58,",11.0,317.0,0.0
17:54:43.000000,"0xcd58,",0.0,317.0,0.0
17:54:44.000000,"0xcd58,",11.0,317.0,0.0
17:54:44.000000,"0xcd58,",0.0,317.0,0.0
17:54:45.000000,"0xcd58,",11.0,317.0,0.0
17:54:45.000000,"0xcd58,",0.0,317.0,0.0
17:54:46.000000,"0xcd58,",11.0,317.0,0.0
17:54:46.000000,"0xcd58,",0.0,317.0,0.0
17:54:47.000000,"0xcd58,",11.0,317.0,0.0
17:54:47.000000,"0xcd58,",0.0,317.0,0.0
17:54:48.000000,"0xcd58,",11.0,317.0,0.0
17:54:48.000000,"0xcd58,",0.0,317.0,0.0
17:54:49.000000,"0xcd58,",11.0,317.0,0.0
17:54:49.000000,"0xcd58,",0.0,317.0,0.0
17:54:50.000000,"0xcd58,",11.0,317.0,0.0
17:54:50.000000,"0xcd58,",0.0,317.0,0.0
17:54:51.000000,"0xcd58,",11.0,317.0,0.0
17:54:51.000000,"0xcd58,",0.0,317.0,0.0
17:54:52.000000,"0xcd58,",11.0,317.0,0.0
17:54:52.000000,"0xcd58,",0.0,317.0,0.0
17:54:53.000000,"0xcd58,",11.0,317.0,0.0
17:54:53.000000,"0xcd58,",0.0,317.0,0.0
17:54:55.000000,"0xcd58,",11.0,317.0,1.0
17:54:55.000000,"0xcd58,",0.0,317.0,1.0
17:54:56.000000,"0xcd58,",11.0,317.0,1.0
17:54:56.000000,"0xcd58,",0.0,317.0,1.0
17:54:57.000000,"0xcd58,",11.0,317.0,1.0
17:54:57.000000,"0xcd58,",0.0,317.0,1.0
17:54:58.000000,"0xcd58,",11.0,317.0,1.0
17:54:58.000000,"0xcd58,",0.0,317.0,1.0
17:54:59.000000,"0xcd58,",11.0,317.0,1.0
17:54:59.000000,"0xcd58,",0.0,317.0,1.0
17:55:00.000000,"0xcd58,",11.0,317.0,1.0
17:55:00.000000,"0xcd58,",0.0,317.0,1.0
17:55:01.000000,"0xcd58,",11.0,317.0,1.0
17:55:01.000000,"0xcd58,",0.0,317.0,1.0
17:55:02.000000,"0xcd58,",11.0,317.0,1.0
17:55:02.000000,"0xcd58,",0.0,317.0,1.0
17:55:03.000000,"0xcd58,",11.0,317.0,1.0
17:55:03.000000,"0xcd58,",0.0,317.0,1.0
17:55:04.000000,"0xcd58,",11.0,317.0,1.0
17:55:04.000000,"0xcd58,",0.0,317.0,1.0
17:55:05.000000,"0xcd58,",11.0,317.0,1.0
17:55:05.000000,"0xcd58,",0.0,317.0,1.0
17:55:06.000000,"0xcd58,",11.0,317.0,1.0
17:55:06.000000,"0xcd58,",0.0,317.0,1.0
17:55:07.000000,"0xcd58,",11.0,317.0,1.0
17:55:07.000000,"0xcd58,",0.0,317.0,1.0
17:55:08.000000,"0xcd58,",11.0,317.0,1.0
17:55:08.000000,"0xcd58,",0.0,317.0,1.0
17:55:09.000000,"0xcd58,",11.0,317.0,1.0
17:55:09.000000,"0xcd58,",0.0,317.0,1.0
17:55:10.000000,"0xcd58,",11.0,317.0,1.0
17:55:10.000000,"0xcd58,",0.0,317.0,1.0
17:55:11.000000,"0xcd58,",11.0,317.0,1.0
17:55:11.000000,"0xcd58,",0.0,317.0,1.0
17:55:12.000000,"0xcd58,",11.0,317.0,1.0
17:55:12.000000,"0xcd58,",0.0,317.0,1.0
17:55:13.000000,"0xcd58,",11.0,317.0,1.0
17:55:13.000000,"0xcd58,",0.0,317.0,1.0
17:55:14.000000,"0xcd58,",11.0,317.0,1.0
17:55:14.000000,"0xcd58,",0.0,317.0,1.0
17:55:15.000000,"0xcd58,",11.0,317.0,1.0
17:55:15.000000,"0xcd58,",0.0,317.0,1.0
17:55:16.000000,"0xcd58,",11.0,317.0,1.0
17:55:16.000000,"0xcd58,",0.0,317.0,1.0
17:55:17.000000,"0xcd58,",11.0,317.0,1.0
17:55:17.000000,"0xcd58,",0.0,317.0,1.0
17:55:18.000000,"0xcd58,",11.0,317.0,1.0
17:55:18.000000,"0xcd58,",0.0,317.0,1.0
17:55:19.000000,"0xcd58,",11.0,317.0,1.0
17:55:19.000000,"0xcd58,",0.0,317.0,1.0
17:55:20.000000,"0xcd58,",11.0,317.0,1.0
17:55:20.000000,"0xcd58,",0.0,317.0,1.0
17:55:21.000000,"0xcd58,",11.0,317.0,1.0
17:55:21.000000,"0xcd58,",0.0,317.0,1.0
17:55:22.000000,"0xcd58,",11.0,317.0,1.0
17:55:22.000000,"0xcd58,",0.0,317.0,1.0
17:55:23.000000,"0xcd58,",11.0,317.0,1.0
17:55:23.000000,"0xcd58,",0.0,317.0,1.0
17:55:25.000000,"0xcd58,",11.0,317.0,2.0
17:55:25.000000,"0xcd58,",0.0,317.0,2.0
17:55:26.000000,"0xcd58,",11.0,317.0,2.0
17:55:26.000000,"0xcd58,",0.0,317.0,2.0
17:55:27.000000,"0xcd58,",11.0,317.0,2.0
17:55:27.000000,"0xcd58,",0.0,317.0,2.0
17:55:28.000000,"0xcd58,",11.0,317.0,2.0
17:55:28.000000,"0xcd58,",0.0,317.0,2.0
17:55:29.000000,"0xcd58,",11.0,317.0,2.0
17:55:29.000000,"0xcd58,",0.0,317.0,2.0
17:55:30.000000,"0xcd58,",11.0,317.0,2.0
17:55:30.000000,"0xcd58,",0.0,317.0,2.0
17:55:31.000000,"0xcd58,",11.0,317.0,2.0
17:55:31.000000,"0xcd58,",0.0,317.0,2.0
17:55:32.000000,"0xcd58,",11.0,317.0,2.0
17:55:32.000000,"0xcd58,",0.0,317.0,2.0
17:55:33.000000,"0xcd58,",11.0,317.0,2.0
17:55:33.000000,"0xcd58,",0.0,317.0,2.0
17:55:34.000000,"0xcd58,",11.0,317.0,2.0
17:55:34.000000,"0xcd58,",0.0,317.0,2.0
17:55:35.000000,"0xcd58,",11.0,317.0,2.0
17:55:35.000000,"0xcd58,",0.0,317.0,2.0
17:55:36.000000,"0xcd58,",11.0,317.0,2.0
17:55:36.000000,"0xcd58,",0.0,317.0,2.0
17:55:37.000000,"0xcd58,",11.0,317.0,2.0
17:55:37.000000,"0xcd58,",0.0,317.0,2.0
17:55:38.000000,"0xcd58,",11.0,317.0,2.0
17:55:38.000000,"0xcd58,",0.0,317.0,2.0
17:55:39.000000,"0xcd58,",11.0,317.0,2.0
17:55:39.000000,"0xcd58,",0.0,317.0,2.0
17:55:40.000000,"0xcd58,",11.0,317.0,2.0
17:55:40.000000,"0xcd58,",0.0,317.0,2.0
17:55:41.000000,"0xcd58,",11.0,317.0,2.0
17:55:41.000000,"0xcd58,",0.0,317.0,2.0
17:55:42.000000,"0xcd58,",11.0,317.0,2.0
17:55:42.000000,"0xcd58,",0.0,317.0,2.0
17:55:43.000000,"0xcd58,",11.0,317.0,2.0
17:55:43.000000,"0xcd58,",0.0,317.0,2.0
17:55:44.000000,"0xcd58,",11.0,317.0,2.0
17:55:44.000000,"0xcd58,",0.0,317.0,2.0
17:55:45.000000,"0xcd58,",11.0,317.0,2.0
17:55:45.000000,"0xcd58,",0.0,317.0,2.0
17:55:45.954556,"0xcd58,",67.0,0.0,2.0
17:55:45.978748,"0xcd58,",0.0,233.0,2.0
17:55:45.986537,"0xcd58,",11.0,0.0,2.0
17:55:46.000000,"0xcd58,",11.0,233.0,2.0
17:55:46.000000,"0xcd58,",0.0,233.0,2.0
17:55:47.000000,"0xcd58,",11.0,233.0,2.0
17:55:47.000000,"0xcd58,",0.0,233.0,2.0
17:55:48.000000,"0xcd58,",11.0,233.0,2.0
17:55:48.000000,"0xcd58,",0.0,233.0,2.0
17:55:48.818625,"0xcd58,",0.0,22.0,2.0
17:55:48.826232,"0xcd58,",0.0,0.0,2.0
17:55:48.834774,"0xcd58,",11.0,0.0,2.0
17:55:48.941795,"0xcd58,",77.0,0.0,2.0
17:55:49.000000,"0xcd58,",0.0,0.0,2.0
17:55:49.012010,"0xcd58,",77.0,0.0,2.0
17:55:49.020037,"0xcd58,",77.0,0.0,2.0
17:55:49.098395,"0xcd58,",77.0,0.0,2.0
17:55:49.177137,"0xcd58,",77.0,0.0,2.0
17:55:49.185288,"0xcd58,",77.0,0.0,2.0
17:55:50.000000,"0xcd58,",77.0,0.0,2.0
17:55:50.000000,"0xcd58,",0.0,0.0,2.0
17:55:51.000000,"0xcd58,",77.0,0.0,2.0
17:55:51.000000,"0xcd58,",0.0,0.0,2.0
17:55:52.000000,"0xcd58,",77.0,0.0,2.0
17:55:52.000000,"0xcd58,",0.0,0.0,2.0
17:55:53.000000,"0xcd58,",77.0,0.0,2.0
17:55:53.000000,"0xcd58,",0.0,0.0,2.0
17:55:55.000000,"0xcd58,",77.0,0.0,3.0
17:55:55.000000,"0xcd58,",0.0,0.0,3.0
17:55:56.000000,"0xcd58,",77.0,0.0,3.0
