time,mean_tbs_dl,mean_tbs_ul,max_tbs_dl,max_tbs_ul,total_dl,total_ul,num_of_packets_dl,num_of_packets_ul,series_id
0.1,18.0,12.0,43.0,18.0,54.0,36.0,2.0,2.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,9.493333333333334,150.18666666666667,233.0,621.0,712.0,11264.0,10.0,65.0,0.0
0.7999999999999999,68.43636363636364,131.01818181818183,1692.0,317.0,3764.0,7206.0,6.0,42.0,0.0
0.8999999999999999,7.6976744186046515,140.2674418604651,249.0,1191.0,662.0,12063.0,5.0,73.0,0.0
0.9999999999999999,96.0,139.7674418604651,3182.0,277.0,4128.0,6010.0,6.0,34.0,0.0
1.0999999999999999,74.10169491525424,149.5,2124.0,645.0,8744.0,17641.0,16.0,93.0,0.0
1.2,33.043103448275865,160.61206896551724,1980.0,935.0,3833.0,18631.0,14.0,101.0,0.0
1.3,295.578125,138.484375,7972.0,317.0,18917.0,8863.0,10.0,51.0,0.0
1.4000000000000001,531.0,148.55445544554456,7972.0,1692.0,53631.0,15004.0,18.0,77.0,0.0
1.5000000000000002,29.3125,162.4375,469.0,185.0,469.0,2599.0,1.0,15.0,0.0
1.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,39.549019607843135,168.65686274509804,1980.0,1527.0,4034.0,17203.0,11.0,89.0,0.0
1.8000000000000003,11.147058823529411,112.17647058823529,301.0,1143.0,758.0,7628.0,6.0,48.0,0.0
1.9000000000000004,16.313725490196077,137.2058823529412,437.0,621.0,1664.0,13995.0,12.0,83.0,0.0
2.0000000000000004,339.3090909090909,112.60909090909091,4395.0,645.0,37324.0,12387.0,30.0,71.0,0.0
2.1000000000000005,100.1880341880342,152.2051282051282,2577.0,1335.0,11722.0,17808.0,21.0,92.0,0.0
2.2000000000000006,61.2,153.26666666666668,317.0,317.0,918.0,2299.0,4.0,11.0,0.0
2.3000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.400000000000001,41.85,156.48,2769.0,1143.0,4185.0,15648.0,9.0,82.0,0.0
2.500000000000001,17.84,187.02,317.0,1620.0,892.0,9351.0,5.0,44.0,0.0
2.600000000000001,7.32,153.36,161.0,317.0,183.0,3834.0,2.0,22.0,0.0
2.700000000000001,57.5625,226.96875,935.0,2385.0,1842.0,7263.0,5.0,25.0,0.0
2.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
