time,rnti,link,tbs_ul
17:54:48.000000,"0xcd58,",[UL],317
17:54:49.000000,"0xcd58,",[UL],317
17:54:50.000000,"0xcd58,",[UL],317
17:54:51.000000,"0xcd58,",[UL],317
17:54:52.000000,"0xcd58,",[UL],317
17:54:53.000000,"0xcd58,",[UL],317
17:54:54.000000,"0xcd58,",[UL],317
17:54:55.000000,"0xcd58,",[UL],317
17:54:56.000000,"0xcd58,",[UL],317
17:54:57.000000,"0xcd58,",[UL],317
17:54:58.000000,"0xcd58,",[UL],317
17:54:59.000000,"0xcd58,",[UL],317
17:55:00.000000,"0xcd58,",[UL],317
17:55:01.000000,"0xcd58,",[UL],317
17:55:02.000000,"0xcd58,",[UL],317
17:55:03.000000,"0xcd58,",[UL],317
17:55:04.000000,"0xcd58,",[UL],317
17:55:05.000000,"0xcd58,",[UL],317
17:55:06.000000,"0xcd58,",[UL],317
17:55:07.000000,"0xcd58,",[UL],317
17:55:08.000000,"0xcd58,",[UL],317
17:55:09.000000,"0xcd58,",[UL],317
17:55:10.000000,"0xcd58,",[UL],317
17:55:11.000000,"0xcd58,",[UL],317
17:55:12.000000,"0xcd58,",[UL],317
17:55:13.000000,"0xcd58,",[UL],317
17:55:14.000000,"0xcd58,",[UL],317
17:55:15.000000,"0xcd58,",[UL],317
17:55:16.000000,"0xcd58,",[UL],317
17:55:17.000000,"0xcd58,",[UL],317
17:55:18.000000,"0xcd58,",[UL],317
17:55:19.000000,"0xcd58,",[UL],317
17:55:20.000000,"0xcd58,",[UL],317
17:55:21.000000,"0xcd58,",[UL],317
17:55:22.000000,"0xcd58,",[UL],317
17:55:23.000000,"0xcd58,",[UL],317
17:55:24.000000,"0xcd58,",[UL],317
17:55:25.000000,"0xcd58,",[UL],317
17:55:26.000000,"0xcd58,",[UL],317
17:55:27.000000,"0xcd58,",[UL],317
17:55:28.000000,"0xcd58,",[UL],317
17:55:29.000000,"0xcd58,",[UL],317
17:55:30.000000,"0xcd58,",[UL],317
17:55:31.000000,"0xcd58,",[UL],317
17:55:32.000000,"0xcd58,",[UL],317
17:55:33.000000,"0xcd58,",[UL],317
17:55:34.000000,"0xcd58,",[UL],317
17:55:35.000000,"0xcd58,",[UL],317
17:55:36.000000,"0xcd58,",[UL],317
17:55:37.000000,"0xcd58,",[UL],317
17:55:38.000000,"0xcd58,",[UL],317
17:55:39.000000,"0xcd58,",[UL],317
17:55:40.000000,"0xcd58,",[UL],317
17:55:41.000000,"0xcd58,",[UL],317
17:55:42.000000,"0xcd58,",[UL],317
17:55:43.000000,"0xcd58,",[UL],317
17:55:44.000000,"0xcd58,",[UL],317
17:55:45.000000,"0xcd58,",[UL],317
17:55:45.978748,"0xcd58,",[UL],233
17:55:46.000000,"0xcd58,",[UL],233
17:55:47.000000,"0xcd58,",[UL],233
17:55:48.000000,"0xcd58,",[UL],233
17:55:48.818625,"0xcd58,",[UL],22
17:55:48.826232,"0xcd58,",[UL],0
17:55:49.000000,"0xcd58,",[UL],0
17:55:50.000000,"0xcd58,",[UL],0
17:55:51.000000,"0xcd58,",[UL],0
17:55:52.000000,"0xcd58,",[UL],0
17:55:53.000000,"0xcd58,",[UL],0
17:55:54.000000,"0xcd58,",[UL],0
17:55:55.000000,"0xcd58,",[UL],0
17:55:56.000000,"0xcd58,",[UL],0
17:55:57.000000,"0xcd58,",[UL],0
17:55:58.000000,"0xcd58,",[UL],0
17:55:59.000000,"0xcd58,",[UL],0
17:56:00.000000,"0xcd58,",[UL],0
17:56:01.000000,"0xcd58,",[UL],0
17:56:02.000000,"0xcd58,",[UL],0
17:56:03.000000,"0xcd58,",[UL],0
17:56:04.000000,"0xcd58,",[UL],0
17:56:05.000000,"0xcd58,",[UL],0
17:56:06.000000,"0xcd58,",[UL],0
17:56:07.000000,"0xcd58,",[UL],0
17:56:08.000000,"0xcd58,",[UL],0
17:56:09.000000,"0xcd58,",[UL],0
17:56:10.000000,"0xcd58,",[UL],0
17:56:11.000000,"0xcd58,",[UL],0
17:56:12.000000,"0xcd58,",[UL],0
17:56:13.000000,"0xcd58,",[UL],0
17:56:14.000000,"0xcd58,",[UL],0
17:56:15.000000,"0xcd58,",[UL],0
17:56:16.000000,"0xcd58,",[UL],0
17:56:17.000000,"0xcd58,",[UL],0
17:56:17.190736,"0x40a0,",[UL],22
17:56:17.230770,"0x40a0,",[UL],317
17:56:17.290846,"0x40a0,",[UL],249
17:56:17.297793,"0x40a0,",[UL],125
17:56:17.813398,"0x40a0,",[UL],301
17:56:17.873497,"0x40a0,",[UL],301
17:56:17.881519,"0x40a0,",[UL],0
17:56:18.000000,"0x40a0,",[UL],0
17:56:19.000000,"0x40a0,",[UL],0
17:56:20.000000,"0x40a0,",[UL],0
17:56:21.000000,"0x40a0,",[UL],0
17:56:21.996144,"0x40a0,",[UL],113
17:56:22.000372,"0x40a0,",[UL],807
17:56:22.007402,"0x40a0,",[UL],61
17:56:22.021498,"0x40a0,",[UL],17
17:56:22.022340,"0x40a0,",[UL],79
17:56:22.023439,"0x40a0,",[UL],77
17:56:22.036619,"0x40a0,",[UL],65
17:56:22.037441,"0x40a0,",[UL],73
17:56:22.041822,"0x40a0,",[UL],0
17:56:22.059413,"0x40a0,",[UL],61
17:56:22.066608,"0x40a0,",[UL],65
17:56:22.077921,"0x40a0,",[UL],1143
17:56:22.085868,"0x40a0,",[UL],0
17:56:22.095372,"0x40a0,",[UL],157
17:56:22.173535,"0x40a0,",[UL],249
17:56:22.333400,"0x40a0,",[UL],317
17:56:22.933502,"0x40a0,",[UL],317
17:56:23.393473,"0x40a0,",[UL],317
17:56:24.000000,"0x40a0,",[UL],317
17:56:25.000000,"0x40a0,",[UL],317
17:56:26.000000,"0x40a0,",[UL],317
17:56:27.000000,"0x40a0,",[UL],317
17:56:28.000000,"0x40a0,",[UL],317
17:56:29.000000,"0x40a0,",[UL],317
17:56:30.000000,"0x40a0,",[UL],317
17:56:31.000000,"0x40a0,",[UL],317
17:56:32.000000,"0x40a0,",[UL],317
17:56:33.000000,"0x40a0,",[UL],317
17:56:34.000000,"0x40a0,",[UL],317
17:56:35.000000,"0x40a0,",[UL],317
17:56:36.000000,"0x40a0,",[UL],317
17:56:37.000000,"0x40a0,",[UL],317
17:56:38.000000,"0x40a0,",[UL],317
17:56:39.000000,"0x40a0,",[UL],317
17:56:40.000000,"0x40a0,",[UL],317
17:56:41.000000,"0x40a0,",[UL],317
17:56:42.000000,"0x40a0,",[UL],317
17:56:43.000000,"0x40a0,",[UL],317
17:56:44.000000,"0x40a0,",[UL],317
17:56:45.000000,"0x40a0,",[UL],317
17:56:46.000000,"0x40a0,",[UL],317
17:56:47.000000,"0x40a0,",[UL],317
