time,rnti,tbs_dl,tbs_ul,series_id
16:11:55.000000,"0x3ae4,",22.0,81.0,0.0
16:11:55.000000,"0x3ae4,",0.0,81.0,0.0
16:11:56.000000,"0x3ae4,",22.0,81.0,0.0
16:11:56.000000,"0x3ae4,",0.0,81.0,0.0
16:11:57.000000,"0x3ae4,",22.0,81.0,0.0
16:11:57.000000,"0x3ae4,",0.0,81.0,0.0
16:11:58.000000,"0x3ae4,",22.0,81.0,0.0
16:11:58.000000,"0x3ae4,",0.0,81.0,0.0
16:11:59.000000,"0x3ae4,",22.0,81.0,0.0
16:11:59.000000,"0x3ae4,",0.0,81.0,0.0
16:12:00.000000,"0x3ae4,",22.0,81.0,0.0
16:12:00.000000,"0x3ae4,",0.0,81.0,0.0
16:12:01.000000,"0x3ae4,",22.0,81.0,0.0
16:12:01.000000,"0x3ae4,",0.0,81.0,0.0
16:12:02.000000,"0x3ae4,",22.0,81.0,0.0
16:12:02.000000,"0x3ae4,",0.0,81.0,0.0
16:12:03.000000,"0x3ae4,",22.0,81.0,0.0
16:12:03.000000,"0x3ae4,",0.0,81.0,0.0
16:12:04.000000,"0x3ae4,",22.0,81.0,0.0
16:12:04.000000,"0x3ae4,",0.0,81.0,0.0
16:12:05.000000,"0x3ae4,",22.0,81.0,0.0
16:12:05.000000,"0x3ae4,",0.0,81.0,0.0
16:12:06.000000,"0x3ae4,",22.0,81.0,0.0
16:12:06.000000,"0x3ae4,",0.0,81.0,0.0
16:12:07.000000,"0x3ae4,",22.0,81.0,0.0
16:12:07.000000,"0x3ae4,",0.0,81.0,0.0
16:12:08.000000,"0x3ae4,",22.0,81.0,0.0
16:12:08.000000,"0x3ae4,",0.0,81.0,0.0
16:12:09.000000,"0x3ae4,",22.0,81.0,0.0
16:12:09.000000,"0x3ae4,",0.0,81.0,0.0
16:12:10.000000,"0x3ae4,",22.0,81.0,0.0
16:12:10.000000,"0x3ae4,",0.0,81.0,0.0
16:12:11.000000,"0x3ae4,",22.0,81.0,0.0
16:12:11.000000,"0x3ae4,",0.0,81.0,0.0
16:12:12.000000,"0x3ae4,",22.0,81.0,0.0
16:12:12.000000,"0x3ae4,",0.0,81.0,0.0
16:12:13.000000,"0x3ae4,",22.0,81.0,0.0
16:12:13.000000,"0x3ae4,",0.0,81.0,0.0
16:12:14.000000,"0x3ae4,",22.0,81.0,0.0
16:12:14.000000,"0x3ae4,",0.0,81.0,0.0
16:12:15.000000,"0x3ae4,",22.0,81.0,0.0
16:12:15.000000,"0x3ae4,",0.0,81.0,0.0
16:12:16.000000,"0x3ae4,",22.0,81.0,0.0
16:12:16.000000,"0x3ae4,",0.0,81.0,0.0
16:12:17.000000,"0x3ae4,",22.0,81.0,0.0
16:12:17.000000,"0x3ae4,",0.0,81.0,0.0
16:12:18.000000,"0x3ae4,",22.0,81.0,0.0
16:12:18.000000,"0x3ae4,",0.0,81.0,0.0
16:12:19.000000,"0x3ae4,",22.0,81.0,0.0
16:12:19.000000,"0x3ae4,",0.0,81.0,0.0
16:12:20.000000,"0x3ae4,",22.0,81.0,0.0
16:12:20.000000,"0x3ae4,",0.0,81.0,0.0
16:12:21.000000,"0x3ae4,",22.0,81.0,0.0
16:12:21.000000,"0x3ae4,",0.0,81.0,0.0
16:12:22.000000,"0x3ae4,",22.0,81.0,0.0
16:12:22.000000,"0x3ae4,",0.0,81.0,0.0
16:12:23.000000,"0x3ae4,",22.0,81.0,0.0
16:12:23.000000,"0x3ae4,",0.0,81.0,0.0
16:12:25.000000,"0x3ae4,",22.0,81.0,1.0
16:12:25.000000,"0x3ae4,",0.0,81.0,1.0
16:12:26.000000,"0x3ae4,",22.0,81.0,1.0
16:12:26.000000,"0x3ae4,",0.0,81.0,1.0
16:12:27.000000,"0x3ae4,",22.0,81.0,1.0
16:12:27.000000,"0x3ae4,",0.0,81.0,1.0
16:12:28.000000,"0x3ae4,",22.0,81.0,1.0
16:12:28.000000,"0x3ae4,",0.0,81.0,1.0
16:12:29.000000,"0x3ae4,",22.0,81.0,1.0
16:12:29.000000,"0x3ae4,",0.0,81.0,1.0
16:12:30.000000,"0x3ae4,",22.0,81.0,1.0
16:12:30.000000,"0x3ae4,",0.0,81.0,1.0
16:12:31.000000,"0x3ae4,",22.0,81.0,1.0
16:12:31.000000,"0x3ae4,",0.0,81.0,1.0
16:12:32.000000,"0x3ae4,",22.0,81.0,1.0
16:12:32.000000,"0x3ae4,",0.0,81.0,1.0
16:12:33.000000,"0x3ae4,",22.0,81.0,1.0
16:12:33.000000,"0x3ae4,",0.0,81.0,1.0
16:12:34.000000,"0x3ae4,",22.0,81.0,1.0
16:12:34.000000,"0x3ae4,",0.0,81.0,1.0
16:12:35.000000,"0x3ae4,",22.0,81.0,1.0
16:12:35.000000,"0x3ae4,",0.0,81.0,1.0
16:12:36.000000,"0x3ae4,",22.0,81.0,1.0
16:12:36.000000,"0x3ae4,",0.0,81.0,1.0
16:12:37.000000,"0x3ae4,",22.0,81.0,1.0
16:12:37.000000,"0x3ae4,",0.0,81.0,1.0
16:12:38.000000,"0x3ae4,",22.0,81.0,1.0
16:12:38.000000,"0x3ae4,",0.0,81.0,1.0
16:12:39.000000,"0x3ae4,",22.0,81.0,1.0
16:12:39.000000,"0x3ae4,",0.0,81.0,1.0
16:12:40.000000,"0x3ae4,",22.0,81.0,1.0
16:12:40.000000,"0x3ae4,",0.0,81.0,1.0
16:12:41.000000,"0x3ae4,",22.0,81.0,1.0
16:12:41.000000,"0x3ae4,",0.0,81.0,1.0
16:12:42.000000,"0x3ae4,",22.0,81.0,1.0
16:12:42.000000,"0x3ae4,",0.0,81.0,1.0
16:12:43.000000,"0x3ae4,",22.0,81.0,1.0
16:12:43.000000,"0x3ae4,",0.0,81.0,1.0
16:12:44.000000,"0x3ae4,",22.0,81.0,1.0
16:12:44.000000,"0x3ae4,",0.0,81.0,1.0
16:12:45.000000,"0x3ae4,",22.0,81.0,1.0
16:12:45.000000,"0x3ae4,",0.0,81.0,1.0
16:12:46.000000,"0x3ae4,",22.0,81.0,1.0
16:12:46.000000,"0x3ae4,",0.0,81.0,1.0
16:12:47.000000,"0x3ae4,",22.0,81.0,1.0
16:12:47.000000,"0x3ae4,",0.0,81.0,1.0
16:12:48.000000,"0x3ae4,",22.0,81.0,1.0
